,US,UK
1947-12-31,1.0,
1948-12-31,1.0273387441264417,
1949-12-31,1.008543357539513,
1950-12-31,1.0670653566851773,
1951-12-31,1.1307133703545493,
1952-12-31,1.140965399401965,
1953-12-31,1.1478000854335755,
1954-12-31,1.143528406663819,
1955-12-31,1.1478000854335755,
1956-12-31,1.180264844083725,
1957-12-31,1.2161469457496796,
1958-12-31,1.237505339598462,
1959-12-31,1.256300726185391,
1960-12-31,1.2733874412644168,1.0
1961-12-31,1.28193079880393,1.043672014260251
1962-12-31,1.297736010252029,1.0713235294117658
1963-12-31,1.3190944041008115,1.0912210338680932
1964-12-31,1.3348996155489108,1.143582887700536
1965-12-31,1.3605296881674498,1.1948975044563284
1966-12-31,1.4062366510038447,1.2388814616755797
1967-12-31,1.452370781717215,1.269251336898397
1968-12-31,1.520717642033319,1.3446524064171133
1969-12-31,1.610422896198206,1.4074866310160445
1970-12-31,1.7001281503630925,1.5184937611408205
1971-12-31,1.7556599743699275,1.6556818181818187
1972-12-31,1.8154634771465186,1.7823975044563376
1973-12-31,1.977787270397266,1.9709001782531193
1974-12-31,2.217001281503631,2.348054233511585
1975-12-31,2.375053395984622,2.932557040998227
1976-12-31,2.4946604015378044,3.374449197860956
1977-12-31,2.661255873558308,3.784203743315506
1978-12-31,2.9004698846646733,4.101562655971476
1979-12-31,3.28492097394276,4.808590106951874
1980-12-31,3.6907304570696287,5.535703565062393
1981-12-31,4.01964972234088,6.202559001782528
1982-12-31,4.173430158052114,6.537995320855617
1983-12-31,4.331482272533106,6.88548324420678
1984-12-31,4.506621102093122,7.200833556149745
1985-12-31,4.677488252883383,7.607310910967256
1986-12-31,4.7330200768902175,7.892585070128533
1987-12-31,4.93806065783853,8.18578351148873
1988-12-31,5.1559162750961125,8.740483265413435
1989-12-31,5.395130286202478,9.414047252321977
1990-12-31,5.732592909013242,10.293642576402569
1991-12-31,5.9034600598035025,10.753250943940172
1992-12-31,6.07859888936352,11.030600820902524
1993-12-31,6.249466040153781,11.244556440273481
1994-12-31,6.411789833404527,11.569452010429384
1995-12-31,6.574113626655276,11.941893273778808
1996-12-31,6.796240922682614,12.235091715139005
1997-12-31,6.911576249466041,12.678851518278762
1998-12-31,7.02263989747971,13.027519935031433
1999-12-31,7.210593763348997,13.257324118800232
2000-12-31,7.458351131994874,13.645613946547517
2001-12-31,7.577958137548056,13.74070533293462
2002-12-31,7.765912003417344,14.144843725079749
2003-12-31,7.923964117898334,14.541057835025974
2004-12-31,8.188808201623237,15.04821189575711
2005-12-31,8.462195642887654,15.381031748111937
2006-12-31,8.67577958137548,16.062520017219416
2007-12-31,9.03225117471166,16.71231115753121
2008-12-31,9.030243485689876,16.87079680150969
2009-12-31,9.284365655702691,17.27493519365482
2010-12-31,9.417855617257583,18.09906054234299
2011-12-31,9.706236651003845,18.970731584224627
2012-12-31,9.87701836821871,19.557128466944985
2013-12-31,10.026441691584793,20.08013109207393
2014-12-31,10.09192652712516,20.40502666222982
2015-12-31,10.156386159760785,20.65067941039648
2016-12-31,10.364673216574113,21.16575775332661
2017-12-31,10.58543357539513,22.037428795208246
2018-12-31,10.788167449807775,22.037428795208246
2019-12-31,11.032165741136266,
2020-12-31,11.17317385732593,
2021-12-31,11.20034173430158,
